	Position	CompanyName	Skills	Published	MoreInfo
101	Data Analyst	RANGAM INFOTECH PVT. LTD.	hive, c  , scala, pig, salesforce, java, hadoop, big data, python, sybase, microsoft azure, infrastructure	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-rangam-infotech-pvt-ltd-mumbai-3-to-5-yrs-jobid-G7p0OAPmRtlzpSvf__PLUS__uAgZw==&source=srp
102	Data Analyst	Cognizant Technology Solutions	clinical trials, clinical data management, cdm, clinical, pharmacy, data management, life sciences, query management, clinical operations	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-cognizant-technology-solutions-mumbai-0-to-3-yrs-jobid-s9vkUHm2Ze9zpSvf__PLUS__uAgZw==&source=srp
103	Data Analyst	Maximus Human Resources Pvt Ltd.	ac, mw, diesel engines, generators, solar thermal, manufacturing, blending	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-maximus-human-resources-pvt-ltd-bengaluru-bangalore-2-to-5-yrs-jobid-lYJy6Fc2ogRzpSvf__PLUS__uAgZw==&source=srp
104	Data Analyst	TandA HR Solutions	excel, audit, strong analytical skills.Strong Data Mining	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-tanda-hr-solutions-chandigarh-0-to-3-yrs-jobid-UyOVpZKhoGxzpSvf__PLUS__uAgZw==&source=srp
105	Data analyst	AMAZON INDIA PVT LTD	python, data warehousing, windows, sql	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-amazon-india-pvt-ltd-bengaluru-bangalore-2-to-5-yrs-jobid-OsBlsaHw9TZzpSvf__PLUS__uAgZw==&source=srp
106	Data Analyst	Relevance Lab Inc	python, rest api, xml, json, sql	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-relevance-lab-inc-bengaluru-bangalore-5-to-8-yrs-jobid-akLmDbvBEQpzpSvf__PLUS__uAgZw==&source=srp
107	Data Analyst	CashKaro	data analysis, data analytics, bi, dashboards, sql, tableau, advanced excel	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-cashkaro-gurgaon-4-to-7-yrs-jobid-__PLUS__7SYvEx9Pq5zpSvf__PLUS__uAgZw==&source=srp
108	Data Analyst	RM EDUCATION SOLUTIONS INDIA PVT. LTD	data mining, sql, team player, written communication	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-rm-education-solutions-india-pvt-ltd-thiruvananthapuram-3-to-5-yrs-jobid-w3DJu9fn4T9zpSvf__PLUS__uAgZw==&source=srp
109	Data Analyst	klevu oy	python, bi, problem solving, sql, nosql	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-klevu-oy-ahmedabad-3-to-6-yrs-jobid-5TaFNMPSKGdzpSvf__PLUS__uAgZw==&source=srp
110	Data Analysts	kudosindia	test cases, database, metrics, component testing	Posted few days ago	https://www.timesjobs.com/job-detail/data-analysts-kudosindia-mumbai-0-to-3-yrs-jobid-v48SsInbeSRzpSvf__PLUS__uAgZw==&source=srp
